All installed programs list generated by choco-package-list-backup on 2024-12-14.


DisplayName                                                        DisplayVersion   Publisher                   
Windows SDK Desktop Libs arm                                       10.1.18362.1     Microsoft Corporation       
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523     9.0.30729.7523   Microsoft Corporation       
WinRT Intellisense PPI - Other Languages                           10.1.18362.1     Microsoft Corporation       
Windows IoT Extension SDK                                          10.1.18362.1     Microsoft Corporation       
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664       12.0.40664.0     Microsoft Corporation       
Universal CRT Tools x86                                            10.1.18362.1     Microsoft Corporation       
Windows SDK for Windows Store Apps Tools                           10.1.18362.1     Microsoft Corporation       
Windows SDK Facade Windows WinMD Versioned                         10.1.18362.1     Microsoft Corporation       
AMD SBxxx SMBus Driver                                             5.12.0.44        Advanced Micro Devices, Inc.
Honeygain                                                          1.5.0.0          Honeygain                   
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61135      11.0.61135       Microsoft Corporation       
vs_communitysharedmsi                                              17.12.35410      Microsoft Corporation       
vs_minshellsharedmsi                                               17.12.35410      Microsoft Corporation       
Windows Desktop Extension SDK                                      10.1.18362.1     Microsoft Corporation       
Promontory_GPIO Driver                                             3.0.3.0          Advanced Micro Devices, Inc.
vs_vswebprotocolselectormsi                                        17.12.35410      Microsoft Corporation       
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135         11.0.61135       Microsoft Corporation       
Windows SDK for Windows Store Apps Contracts                       10.1.18362.1     Microsoft Corporation       
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433        14.42.34433      Microsoft Corporation       
Microsoft Visual Basic/C++ Runtime (x86)                           1.1.0            Microsoft Corporation       
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030       11.0.61030.0     Microsoft Corporation       
Windows SDK for Windows Store Managed Apps Libs                    10.1.18362.1     Microsoft Corporation       
vcpp_crt.redist.clickonce                                          14.42.34433      Microsoft Corporation       
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664      12.0.40664       Microsoft Corporation       
vs_minshellmsi                                                     17.12.35410      Microsoft Corporation       
vs_githubprotocolhandlermsi                                        17.12.35410      Microsoft Corporation       
MSI Development Tools                                              10.1.18362.1     Microsoft Corporation       
vs_communitymsires                                                 17.12.35410      Microsoft Corporation       
Microsoft Visual Studio Setup WMI Provider                         3.12.29.16771    Microsoft Corporation       
Windows SDK Modern Non-Versioned Developer Tools                   10.1.18362.1     Microsoft Corporation       
WinRT Intellisense Desktop - en-us                                 10.1.18362.1     Microsoft Corporation       
Windows SDK AddOn                                                  10.1.0.0         Microsoft Corporation       
